Authors	Title	PublicationName	Volume	Issue	BeginningPage	EndingPage	DOI	PublicationDate	PublicationYear	TimesCited	AccessionNumber
"Travis, Joseph"	"Where Is Natural History in Ecological, Evolutionary, and Behavioral Science?"	AMERICAN NATURALIST	196	1	1	8	10.1086/708765	JUL 1 2020	2020	0	WOS:000543529800002
"McEntee, Jay P.; Burleigh, J. Gordon; Singhal, Sonal"	Dispersal Predicts Hybrid Zone Widths across Animal Diversity: Implications for Species Borders under Incomplete Reproductive Isolation	AMERICAN NATURALIST	196	1	9	28	10.1086/709109	JUL 1 2020	2020	0	WOS:000543529800003
"Ruiz-Herrera, Alfonso; Torres, Pedro J."	Optimal Network Architectures for Spatially Structured Populations with Heterogeneous Diffusion	AMERICAN NATURALIST	196	1	29	44	10.1086/708806	JUL 1 2020	2020	0	WOS:000543529800005
"Bonebrake, Timothy C.; Rezende, Enrico L.; Bozinovic, Francisco"	Climate Change and Thermoregulatory Consequences of Activity Time in Mammals	AMERICAN NATURALIST	196	1	45	56	10.1086/709010	JUL 1 2020	2020	0	WOS:000543529800006
"Hodge, Jennifer R.; Santini, Francesco; Wainwright, Peter C."	Correlated Evolution of Sex Allocation and Mating System in Wrasses and Parrotfishes	AMERICAN NATURALIST	196	1	57	73	10.1086/708764	JUL 1 2020	2020	0	WOS:000543529800007
"de Solan, Thomas; Renoult, Julien Pierre; Geniez, Philippe; David, Patrice; Crochet, Pierre-Andre"	Looking for Mimicry in a Snake Assemblage Using Deep Learning	AMERICAN NATURALIST	196	1	74	86	10.1086/708763	JUL 1 2020	2020	0	WOS:000543529800008
"Hetherington-Rauth, Molly C.; Johnson, Marc T. J."	Floral Trait Evolution of Angiosperms on Pacific Islands	AMERICAN NATURALIST	196	1	87	100	10.1086/709018	JUL 1 2020	2020	0	WOS:000543529800009
"Mullon, Charles; Keller, Laurent; Lehmann, Laurent"	"Evolutionary Stability of Jointly Evolving Traits in Subdivided Populations (vol 188, pg 175, 2020)"	AMERICAN NATURALIST	196	1	101	101	10.1086/708867	JUL 1 2020	2020	0	WOS:000543529800010
"Thompson, Ken A."	Experimental Hybridization Studies Suggest That Pleiotropic Alleles Commonly Underlie Adaptive Divergence between Natural Populations	AMERICAN NATURALIST	196	1	E16	E22	10.1086/708722	JUL 1 2020	2020	0	WOS:000543529800004
"Webber, Quinn M. R.; Laforge, Michel P.; Bonar, Maegwin; Robitaille, Alec L.; Hart, Christopher; Zabihi-Seissan, Sana; Vander Wal, Eric"	The Ecology of Individual Differences Empirically Applied to Space-Use and Movement Tactics	AMERICAN NATURALIST	196	1	E1	E15	10.1086/708721	JUL 1 2020	2020	0	WOS:000543529800001
"Givnish, Thomas J."	The Adaptive Geometry of Trees Revisited	AMERICAN NATURALIST	195	6	935	947	10.1086/708498	Jun-20	2020	0	WOS:000537567400003
"Hernandez-Hernandez, Tania; Wiens, John J."	Why Are There So Many Flowering Plants? A Multiscale Analysis of Plant Diversification	AMERICAN NATURALIST	195	6	948	963	10.5061/dryad.5tb2rbp10	Jun-20	2020	0	WOS:000537567400004
"Lopez-Sepulcre, Andres; Bruneaux, Matthieu; Collins, Sarah; El-Sabaawi, Rana; Flecker, Alexander S.; Thomas, Steven A."	A New Method to Reconstruct Quantitative Food Webs and Nutrient Flows from Isotope Tracer Addition Experiments	AMERICAN NATURALIST	195	6	964	982	10.5061/dryad.8sf7m0chx	Jun-20	2020	0	WOS:000537567400005
"Roth-Monzon, Andrea J.; Belk, Mark C.; Jaime Zuniga-Vega, J.; Johnson, Jerald B."	Beyond Pairwise Interactions: Multispecies Character Displacement in Mexican Freshwater Fish Communities	AMERICAN NATURALIST	195	6	983	996	10.5061/dryad.n02v6wwt0	Jun-20	2020	0	WOS:000537567400006
"Han, Chang S.; Brooks, Robert C.; Dingemanse, Niels J."	Condition-Dependent Mutual Mate Preference and Intersexual Genetic Correlations for Mating Activity	AMERICAN NATURALIST	195	6	997	1008	10.5061/dryad.0vt4b8gv7	Jun-20	2020	1	WOS:000537567400007
"Matthiopoulos, Jason; Fieberg, John; Aarts, Geert; Barraquand, Frederic; Kendall, Bruce E."	Within Reach? Habitat Availability as a Function of Individual Mobility and Spatial Structuring	AMERICAN NATURALIST	195	6	1009	1026	10.1086/708519	Jun-20	2020	0	WOS:000537567400008
